Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients_with_Concentration,Effects
19-24,Dry,Dry to Normal,Yes,Acne,Cystic,Benzoyl Peroxide 2.5% + Niacinamide 5% + Zinc PCA,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production"
19-24,Dry,Dry to Normal,Yes,Dark Circles,Pigmented,Caffeine 3% + Licorice Extract 2% + Hyaluronic Acid 1%,"Improves blood circulation under eyes, Lightens dark spots and evens skin tone, Hydrates and plumps the skin"
19-24,Dry,Dry to Normal,Yes,Dark Circles,Vascular,Caffeine 3% + Niacinamide 5% + Caffeine 3%,"Improves blood circulation under eyes, Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation"
19-24,Dry,Dry to Normal,Yes,Dark Spots,General,Kojic Acid 1% + Niacinamide 5% + Alpha Arbutin 2%,"Lightens pigmentation and skin discoloration, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots"
19-24,Dry,Dry to Normal,Yes,Dullness,General,Lactic Acid + Hyaluronic Acid 1% + Green Tea Extract 3%,"Gently exfoliates and improves skin radiance, Hydrates and plumps the skin, Provides antioxidant and anti-inflammatory benefits"
19-24,Dry,Dry to Normal,Yes,Hyperpigmentation,General,Alpha Arbutin 2% + Tranexamic Acid 2% + Vitamin C 10%,"Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation"
19-24,Dry,Dry to Normal,Yes,Open Pores,General,Clay + Azelaic Acid 10% + Salicylic Acid 2%,"Absorbs excess oil and tightens pores, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
19-24,Dry,Dry to Normal,Yes,Redness,General,Centella Asiatica + Chamomile Extract + Aloe Vera,"Soothes irritation and repairs skin barrier, Calms redness and irritation, Soothes and hydrates irritated skin"
19-24,Dry,Dry to Normal,Yes,Sun Tan,General,Niacinamide 5% + Aloe Vera + Licorice Extract 2%,"Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone"
19-24,Dry,Dry to Normal,Yes,Whiteheads / Blackheads,General,Glycolic Acid + Zinc PCA + Niacinamide 5%,"Exfoliates dead skin cells and smooths skin, Controls sebum production, Reduces inflammation and regulates sebum"
19-24,Dry,Dry to Normal,Yes,Wrinkles,General,Peptides + Niacinamide 5% + Hyaluronic Acid 1%,"Improves skin elasticity and firmness, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
19-24,Dry,Dry to Normal,No,Acne,Comedonal,Zinc PCA + Green Tea Extract 3% + Niacinamide 5%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
19-24,Dry,Dry to Normal,No,Acne,Inflammatory,Salicylic Acid 2% + Zinc PCA + Green Tea Extract 3%,"Unclogs pores and removes excess oil, Controls sebum production, Provides antioxidant and anti-inflammatory benefits"
19-24,Dry,Dry to Normal,No,Acne,Fungal,Niacinamide 5% + Zinc PCA + Azelaic Acid 10%,"Reduces inflammation and regulates sebum, Controls sebum production, Reduces acne and improves skin texture"
19-24,Dry,Dry to Normal,No,Acne,Cystic,Azelaic Acid 10% + Green Tea Extract 3% + Benzoyl Peroxide 2.5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria"
19-24,Dry,Dry to Normal,No,Dark Circles,Pigmented,Vitamin C 10% + Licorice Extract 2% + Niacinamide 5%,"Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum"
19-24,Dry,Dry to Normal,No,Dark Circles,Vascular,Niacinamide 5% + Licorice Extract 2% + Caffeine 3%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Improves blood circulation under eyes"
19-24,Dry,Dry to Normal,No,Dark Spots,General,Niacinamide 5% + Alpha Arbutin 2% + Kojic Acid 1%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration"
19-24,Dry,Dry to Normal,No,Dullness,General,Green Tea Extract 3% + Lactic Acid + Vitamin C 10%,"Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance, Brightens skin and reduces pigmentation"
19-24,Dry,Dry to Normal,No,Hyperpigmentation,General,Licorice Extract 2% + Niacinamide 5% + Tranexamic Acid 2%,"Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation"
19-24,Dry,Dry to Normal,No,Open Pores,General,Clay + Green Tea Extract 3% + Azelaic Acid 10%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture"
19-24,Dry,Dry to Normal,No,Redness,General,Centella Asiatica + Green Tea Extract 3% + Aloe Vera,"Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits, Soothes and hydrates irritated skin"
19-24,Dry,Dry to Normal,No,Sun Tan,General,Licorice Extract 2% + Niacinamide 5% + Alpha Arbutin 2%,"Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots"
19-24,Dry,Dry to Normal,No,Whiteheads / Blackheads,General,Willow Bark Extract + Salicylic Acid 2% + Zinc PCA,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Controls sebum production"
19-24,Dry,Dry to Normal,No,Wrinkles,General,Retinol 0.1% + Peptides + Hyaluronic Acid 1%,"Stimulates collagen production and reduces wrinkles, Improves skin elasticity and firmness, Hydrates and plumps the skin"
19-24,Dry,Extreme Dry,Yes,Acne,Comedonal,Niacinamide 5% + Salicylic Acid 2% + Green Tea Extract 3%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits"
19-24,Dry,Extreme Dry,Yes,Acne,Inflammatory,Salicylic Acid 2% + Benzoyl Peroxide 2.5% + Green Tea Extract 3%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
19-24,Dry,Extreme Dry,Yes,Acne,Fungal,Green Tea Extract 3% + Niacinamide 5% + Salicylic Acid 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
19-24,Dry,Extreme Dry,Yes,Acne,Cystic,Benzoyl Peroxide 2.5% + Zinc PCA + Green Tea Extract 3%,"Kills acne-causing bacteria, Controls sebum production, Provides antioxidant and anti-inflammatory benefits"
19-24,Dry,Extreme Dry,Yes,Dark Circles,Pigmented,Vitamin C 10% + Caffeine 3% + Licorice Extract 2%,"Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone"
19-24,Dry,Extreme Dry,Yes,Dark Circles,Vascular,Vitamin C 10% + Hyaluronic Acid 1% + Licorice Extract 2%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Lightens dark spots and evens skin tone"
19-24,Dry,Extreme Dry,Yes,Dark Spots,General,Alpha Arbutin 2% + Licorice Extract 2% + Kojic Acid 1%,"Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone, Lightens pigmentation and skin discoloration"
19-24,Dry,Extreme Dry,Yes,Dullness,General,Hyaluronic Acid 1% + Vitamin C 10% + Niacinamide 5%,"Hydrates and plumps the skin, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Dry,Extreme Dry,Yes,Hyperpigmentation,General,Vitamin C 10% + Niacinamide 5% + Licorice Extract 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
19-24,Dry,Extreme Dry,Yes,Open Pores,General,Salicylic Acid 2% + Azelaic Acid 10% + Niacinamide 5%,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum"
19-24,Dry,Extreme Dry,Yes,Redness,General,Niacinamide 5% + Chamomile Extract + Aloe Vera,"Reduces inflammation and regulates sebum, Calms redness and irritation, Soothes and hydrates irritated skin"
19-24,Dry,Extreme Dry,Yes,Sun Tan,General,Aloe Vera + Vitamin C 10% + Niacinamide 5%,"Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Dry,Extreme Dry,Yes,Whiteheads / Blackheads,General,Salicylic Acid 2% + Zinc PCA + Willow Bark Extract,"Unclogs pores and removes excess oil, Controls sebum production, Naturally exfoliates and clears pores"
19-24,Dry,Extreme Dry,Yes,Wrinkles,General,Coenzyme Q10 + Hyaluronic Acid 1% + Retinol 0.1%,"Provides antioxidant protection and supports skin repair, Hydrates and plumps the skin, Stimulates collagen production and reduces wrinkles"
19-24,Dry,Extreme Dry,No,Acne,Comedonal,Zinc PCA + Azelaic Acid 10% + Benzoyl Peroxide 2.5%,"Controls sebum production, Reduces acne and improves skin texture, Kills acne-causing bacteria"
19-24,Dry,Extreme Dry,No,Acne,Inflammatory,Niacinamide 5% + Azelaic Acid 10% + Salicylic Acid 2%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
19-24,Dry,Extreme Dry,No,Acne,Fungal,Niacinamide 5% + Zinc PCA + Salicylic Acid 2%,"Reduces inflammation and regulates sebum, Controls sebum production, Unclogs pores and removes excess oil"
19-24,Dry,Extreme Dry,No,Acne,Cystic,Niacinamide 5% + Azelaic Acid 10% + Zinc PCA,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Controls sebum production"
19-24,Dry,Extreme Dry,No,Dark Circles,Pigmented,Niacinamide 5% + Licorice Extract 2% + Caffeine 3%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Improves blood circulation under eyes"
19-24,Dry,Extreme Dry,No,Dark Circles,Vascular,Vitamin C 10% + Hyaluronic Acid 1% + Caffeine 3%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Improves blood circulation under eyes"
19-24,Dry,Extreme Dry,No,Dark Spots,General,Licorice Extract 2% + Alpha Arbutin 2% + Niacinamide 5%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum"
19-24,Dry,Extreme Dry,No,Dullness,General,Lactic Acid + Vitamin C 10% + Hyaluronic Acid 1%,"Gently exfoliates and improves skin radiance, Brightens skin and reduces pigmentation, Hydrates and plumps the skin"
19-24,Dry,Extreme Dry,No,Hyperpigmentation,General,Alpha Arbutin 2% + Tranexamic Acid 2% + Niacinamide 5%,"Reduces hyperpigmentation and dark spots, Reduces melanin production and pigmentation, Reduces inflammation and regulates sebum"
19-24,Dry,Extreme Dry,No,Open Pores,General,Niacinamide 5% + Azelaic Acid 10% + Salicylic Acid 2%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
19-24,Dry,Extreme Dry,No,Redness,General,Centella Asiatica + Green Tea Extract 3% + Niacinamide 5%,"Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
19-24,Dry,Extreme Dry,No,Sun Tan,General,Niacinamide 5% + Licorice Extract 2% + Vitamin C 10%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation"
19-24,Dry,Extreme Dry,No,Whiteheads / Blackheads,General,Zinc PCA + Niacinamide 5% + Salicylic Acid 2%,"Controls sebum production, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
19-24,Dry,Extreme Dry,No,Wrinkles,General,Peptides + Retinol 0.1% + Niacinamide 5%,"Improves skin elasticity and firmness, Stimulates collagen production and reduces wrinkles, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Acne,Comedonal,Azelaic Acid 10% + Niacinamide 5% + Zinc PCA,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Controls sebum production"
19-24,Oily,Oily to Normal,Yes,Acne,Inflammatory,Azelaic Acid 10% + Green Tea Extract 3% + Zinc PCA,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Controls sebum production"
19-24,Oily,Oily to Normal,Yes,Acne,Fungal,Niacinamide 5% + Salicylic Acid 2% + Benzoyl Peroxide 2.5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
19-24,Oily,Oily to Normal,Yes,Acne,Cystic,Zinc PCA + Niacinamide 5% + Salicylic Acid 2%,"Controls sebum production, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
19-24,Oily,Oily to Normal,Yes,Dark Circles,Pigmented,Vitamin C 10% + Hyaluronic Acid 1% + Caffeine 3%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Improves blood circulation under eyes"
19-24,Oily,Oily to Normal,Yes,Dark Circles,Vascular,Vitamin C 10% + Licorice Extract 2% + Niacinamide 5%,"Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Dark Spots,General,Kojic Acid 1% + Vitamin C 10% + Niacinamide 5%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Dullness,General,Vitamin C 10% + Hyaluronic Acid 1% + Niacinamide 5%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Hyperpigmentation,General,Alpha Arbutin 2% + Vitamin C 10% + Niacinamide 5%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Open Pores,General,Niacinamide 5% + Clay + Azelaic Acid 10%,"Reduces inflammation and regulates sebum, Absorbs excess oil and tightens pores, Reduces acne and improves skin texture"
19-24,Oily,Oily to Normal,Yes,Redness,General,Centella Asiatica + Niacinamide 5% + Chamomile Extract,"Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum, Calms redness and irritation"
19-24,Oily,Oily to Normal,Yes,Sun Tan,General,Licorice Extract 2% + Vitamin C 10% + Niacinamide 5%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Whiteheads / Blackheads,General,Willow Bark Extract + Salicylic Acid 2% + Niacinamide 5%,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,Yes,Wrinkles,General,Peptides + Hyaluronic Acid 1% + Coenzyme Q10,"Improves skin elasticity and firmness, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair"
19-24,Oily,Oily to Normal,No,Acne,Comedonal,Azelaic Acid 10% + Benzoyl Peroxide 2.5% + Salicylic Acid 2%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
19-24,Oily,Oily to Normal,No,Acne,Inflammatory,Benzoyl Peroxide 2.5% + Azelaic Acid 10% + Green Tea Extract 3%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
19-24,Oily,Oily to Normal,No,Acne,Fungal,Azelaic Acid 10% + Niacinamide 5% + Zinc PCA,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Controls sebum production"
19-24,Oily,Oily to Normal,No,Acne,Cystic,Azelaic Acid 10% + Green Tea Extract 3% + Niacinamide 5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,No,Dark Circles,Pigmented,Caffeine 3% + Hyaluronic Acid 1% + Vitamin C 10%,"Reduces puffiness and improves circulation, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
19-24,Oily,Oily to Normal,No,Dark Circles,Vascular,Caffeine 3% + Licorice Extract 2% + Vitamin C 10%,"Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation"
19-24,Oily,Oily to Normal,No,Dark Spots,General,Alpha Arbutin 2% + Kojic Acid 1% + Licorice Extract 2%,"Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration, Lightens dark spots and evens skin tone"
19-24,Oily,Oily to Normal,No,Dullness,General,Green Tea Extract 3% + Niacinamide 5% + Vitamin C 10%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
19-24,Oily,Oily to Normal,No,Hyperpigmentation,General,Niacinamide 5% + Tranexamic Acid 2% + Licorice Extract 2%,"Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation, Lightens dark spots and evens skin tone"
19-24,Oily,Oily to Normal,No,Open Pores,General,Clay + Green Tea Extract 3% + Niacinamide 5%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
19-24,Oily,Oily to Normal,No,Redness,General,Green Tea Extract 3% + Centella Asiatica + Chamomile Extract,"Provides antioxidant and anti-inflammatory benefits, Soothes irritation and repairs skin barrier, Calms redness and irritation"
19-24,Oily,Oily to Normal,No,Sun Tan,General,Licorice Extract 2% + Alpha Arbutin 2% + Vitamin C 10%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
19-24,Oily,Oily to Normal,No,Whiteheads / Blackheads,General,Niacinamide 5% + Salicylic Acid 2% + Glycolic Acid,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin"
19-24,Oily,Oily to Normal,No,Wrinkles,General,Niacinamide 5% + Hyaluronic Acid 1% + Coenzyme Q10,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair"
19-24,Oily,Extreme Oily,Yes,Acne,Comedonal,Salicylic Acid 2% + Zinc PCA + Azelaic Acid 10%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture"
19-24,Oily,Extreme Oily,Yes,Acne,Inflammatory,Azelaic Acid 10% + Benzoyl Peroxide 2.5% + Green Tea Extract 3%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
19-24,Oily,Extreme Oily,Yes,Acne,Fungal,Green Tea Extract 3% + Niacinamide 5% + Zinc PCA,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Controls sebum production"
19-24,Oily,Extreme Oily,Yes,Acne,Cystic,Zinc PCA + Azelaic Acid 10% + Green Tea Extract 3%,"Controls sebum production, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
19-24,Oily,Extreme Oily,Yes,Dark Circles,Pigmented,Caffeine 3% + Hyaluronic Acid 1% + Licorice Extract 2%,"Improves blood circulation under eyes, Hydrates and plumps the skin, Lightens dark spots and evens skin tone"
19-24,Oily,Extreme Oily,Yes,Dark Circles,Vascular,Licorice Extract 2% + Caffeine 3% + Hyaluronic Acid 1%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
19-24,Oily,Extreme Oily,Yes,Dark Spots,General,Kojic Acid 1% + Vitamin C 10% + Niacinamide 5%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
19-24,Oily,Extreme Oily,Yes,Dullness,General,Niacinamide 5% + Lactic Acid + Green Tea Extract 3%,"Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits"
19-24,Oily,Extreme Oily,Yes,Hyperpigmentation,General,Alpha Arbutin 2% + Niacinamide 5% + Vitamin C 10%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
19-24,Oily,Extreme Oily,Yes,Open Pores,General,Azelaic Acid 10% + Niacinamide 5% + Salicylic Acid 2%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
19-24,Oily,Extreme Oily,Yes,Redness,General,Chamomile Extract + Niacinamide 5% + Green Tea Extract 3%,"Calms redness and irritation, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits"
19-24,Oily,Extreme Oily,Yes,Sun Tan,General,Aloe Vera + Alpha Arbutin 2% + Vitamin C 10%,"Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
19-24,Oily,Extreme Oily,Yes,Whiteheads / Blackheads,General,Salicylic Acid 2% + Glycolic Acid + Zinc PCA,"Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin, Controls sebum production"
19-24,Oily,Extreme Oily,Yes,Wrinkles,General,Retinol 0.1% + Niacinamide 5% + Peptides,"Stimulates collagen production and reduces wrinkles, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness"
19-24,Oily,Extreme Oily,No,Acne,Comedonal,Benzoyl Peroxide 2.5% + Salicylic Acid 2% + Niacinamide 5%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
19-24,Oily,Extreme Oily,No,Acne,Inflammatory,Azelaic Acid 10% + Salicylic Acid 2% + Benzoyl Peroxide 2.5%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
19-24,Oily,Extreme Oily,No,Acne,Fungal,Benzoyl Peroxide 2.5% + Azelaic Acid 10% + Niacinamide 5%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum"
19-24,Oily,Extreme Oily,No,Acne,Cystic,Salicylic Acid 2% + Niacinamide 5% + Azelaic Acid 10%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
19-24,Oily,Extreme Oily,No,Dark Circles,Pigmented,Hyaluronic Acid 1% + Niacinamide 5% + Licorice Extract 2%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
19-24,Oily,Extreme Oily,No,Dark Circles,Vascular,Vitamin C 10% + Niacinamide 5% + Hyaluronic Acid 1%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
19-24,Oily,Extreme Oily,No,Dark Spots,General,Vitamin C 10% + Alpha Arbutin 2% + Niacinamide 5%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum"
19-24,Oily,Extreme Oily,No,Dullness,General,Hyaluronic Acid 1% + Green Tea Extract 3% + Lactic Acid,"Hydrates and plumps the skin, Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance"
19-24,Oily,Extreme Oily,No,Hyperpigmentation,General,Vitamin C 10% + Niacinamide 5% + Tranexamic Acid 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation"
19-24,Oily,Extreme Oily,No,Open Pores,General,Clay + Green Tea Extract 3% + Salicylic Acid 2%,"Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil"
19-24,Oily,Extreme Oily,No,Redness,General,Aloe Vera + Chamomile Extract + Niacinamide 5%,"Soothes and hydrates irritated skin, Calms redness and irritation, Reduces inflammation and regulates sebum"
19-24,Oily,Extreme Oily,No,Sun Tan,General,Niacinamide 5% + Alpha Arbutin 2% + Licorice Extract 2%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone"
19-24,Oily,Extreme Oily,No,Whiteheads / Blackheads,General,Zinc PCA + Salicylic Acid 2% + Willow Bark Extract,"Controls sebum production, Unclogs pores and removes excess oil, Naturally exfoliates and clears pores"
19-24,Oily,Extreme Oily,No,Wrinkles,General,Peptides + Hyaluronic Acid 1% + Niacinamide 5%,"Improves skin elasticity and firmness, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Comedonal,Benzoyl Peroxide 2.5% + Salicylic Acid 2% + Zinc PCA,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Controls sebum production"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Inflammatory,Azelaic Acid 10% + Benzoyl Peroxide 2.5% + Zinc PCA,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Controls sebum production"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Fungal,Zinc PCA + Green Tea Extract 3% + Salicylic Acid 2%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Cystic,Salicylic Acid 2% + Green Tea Extract 3% + Zinc PCA,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Controls sebum production"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Circles,Pigmented,Hyaluronic Acid 1% + Caffeine 3% + Vitamin C 10%,"Hydrates and plumps the skin, Improves blood circulation under eyes, Brightens skin and reduces pigmentation"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Circles,Vascular,Caffeine 3% + Niacinamide 5% + Caffeine 3%,"Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Improves blood circulation under eyes"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Spots,General,Kojic Acid 1% + Vitamin C 10% + Licorice Extract 2%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Dullness,General,Green Tea Extract 3% + Niacinamide 5% + Vitamin C 10%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Hyperpigmentation,General,Vitamin C 10% + Niacinamide 5% + Tranexamic Acid 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Open Pores,General,Azelaic Acid 10% + Green Tea Extract 3% + Clay,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Redness,General,Centella Asiatica + Aloe Vera + Green Tea Extract 3%,"Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Sun Tan,General,Aloe Vera + Niacinamide 5% + Alpha Arbutin 2%,"Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Whiteheads / Blackheads,General,Willow Bark Extract + Salicylic Acid 2% + Niacinamide 5%,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Wrinkles,General,Coenzyme Q10 + Niacinamide 5% + Peptides,"Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness"
19-24,Combination,T-Zone Oily Cheeks Dry,No,Acne,Comedonal,Benzoyl Peroxide 2.5% + Zinc PCA + Salicylic Acid 2%,"Kills acne-causing bacteria, Controls sebum production, Unclogs pores and removes excess oil"
19-24,Combination,T-Zone Oily Cheeks Dry,No,Acne,Inflammatory,Azelaic Acid 10% + Benzoyl Peroxide 2.5% + Zinc PCA,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Controls sebum production"
19-24,Combination,T-Zone Oily Cheeks Dry,No,Acne,Fungal,Niacinamide 5% + Zinc PCA + Green Tea Extract 3%,"Reduces inflammation and regulates sebum, Controls sebum production, Provides antioxidant and anti-inflammatory benefits"
